================================= TCP01 - Realtime Index Tracker =============================
Time		Layer#	T1Row	T2Row	T3Row	T4Row	T5Row	T6Row	T7Row	T8Row	EstPos
----------------------------------------------------------------------------------------------
14:44.50	1	1	1	1	1	1	1	1	1	N/A
14:44.51	1	31	31	31	31	31	31	31	31	N/A
14:44.53	1	61	61	61	61	61	61	61	61	N/A
14:44.56	1	91	91	91	91	91	91	91	91	N/A
14:44.57	1	121	121	121	121	121	121	121	121	N/A
14:44.59	1	151	151	151	151	151	151	151	151	N/A
14:45.04	1	181	181	181	181	181	181	181	181	N/A
14:45.07	1	211	211	211	211	211	211	211	211	N/A
14:45.10	1	241	241	241	241	241	241	241	241	N/A
14:45.13	1	271	271	271	271	271	271	271	271	N/A
14:45.16	1	301	301	301	301	301	301	301	301	N/A
14:45.19	1	331	331	331	331	331	331	331	331	N/A
14:45.25	1	361	361	361	361	361	361	361	361	N/A
14:45.30	1	391	391	391	391	391	391	391	391	N/A
14:45.33	1	421	421	421	421	421	421	421	421	N/A
14:45.35	1	451	451	451	451	451	451	451	451	N/A
14:45.38	1	481	481	481	481	481	481	481	481	N/A
14:45.41	1	511	511	511	511	511	511	511	511	N/A
14:45.49	1	541	541	541	541	541	541	541	541	N/A
14:45.52	1	571	571	571	571	571	571	571	571	N/A
14:45.54	1	601	601	601	601	601	601	601	601	N/A
14:52.54	1	602	602	602	602	602	602	602	602	N/A
14:52.56	1	632	632	632	632	632	632	632	632	N/A
14:52.58	1	662	662	662	662	662	662	662	662	N/A
14:53.04	1	692	692	692	692	692	692	692	692	N/A
14:53.06	1	722	722	722	722	722	722	722	722	N/A
14:53.09	1	752	752	752	752	752	752	752	752	N/A
14:53.11	1	782	782	782	782	782	782	782	782	N/A
14:53.13	1	812	812	812	812	812	812	812	812	N/A
14:53.15	1	842	842	842	842	842	842	842	842	N/A
14:53.21	1	872	872	872	872	872	872	872	872	N/A
14:53.23	1	902	902	902	902	902	902	902	902	N/A
14:53.25	1	932	932	932	932	932	932	932	932	N/A
14:53.28	1	962	962	962	962	962	962	962	962	N/A
14:53.30	1	992	992	992	992	992	992	992	992	N/A
14:53.33	1	1022	1022	1022	1022	1022	1022	1022	1022	N/A
14:53.45	1	1052	1052	1052	1052	1052	1052	1052	1052	N/A
14:53.47	1	1082	1082	1082	1082	1082	1082	1082	1082	N/A
14:53.50	1	1112	1112	1112	1112	1112	1112	1112	1112	N/A
14:53.56	1	1142	1142	1142	1142	1142	1142	1142	1142	N/A
14:53.59	1	1172	1172	1172	1172	1172	1172	1172	1172	N/A
14:54.03	1	1202	1202	1202	1202	1202	1202	1202	1202	N/A
14:54.27	1	1472	1472	1472	1472	1472	1472	1472	1472	N/A
14:54.31	1	1502	1502	1502	1502	1502	1502	1502	1502	N/A
14:54.34	1	1532	1532	1532	1532	1532	1532	1532	1532	N/A
14:54.40	1	1562	1562	1562	1562	1562	1562	1562	1562	N/A
14:54.44	1	1592	1592	1592	1592	1592	1592	1592	1592	N/A
14:54.49	1	1622	1622	1622	1622	1622	1622	1622	1622	N/A
14:58.33	1	1623	1623	1623	1623	1623	1623	1623	1623	N/A
14:58.34	1	1653	1653	1653	1653	1653	1653	1653	1653	N/A
14:58.36	1	1683	1683	1683	1683	1683	1683	1683	1683	N/A
14:58.38	1	1713	1713	1713	1713	1713	1713	1713	1713	N/A
14:58.39	1	1743	1743	1743	1743	1743	1743	1743	1743	N/A
14:58.40	1	1773	1773	1773	1773	1773	1773	1773	1773	N/A
14:58.42	1	1803	1803	1803	1803	1803	1803	1803	1803	N/A
14:58.46	1	1833	1833	1833	1833	1833	1833	1833	1833	N/A
14:58.49	1	1863	1863	1863	1863	1863	1863	1863	1863	N/A
14:58.52	1	1893	1893	1893	1893	1893	1893	1893	1893	N/A
14:58.54	1	1923	1923	1923	1923	1923	1923	1923	1923	N/A
14:58.56	1	1953	1953	1953	1953	1953	1953	1953	1953	N/A
14:58.58	1	1983	1983	1983	1983	1983	1983	1983	1983	N/A
14:59.03	1	2013	2013	2013	2013	2013	2013	2013	2013	N/A
14:59.05	1	2043	2043	2043	2043	2043	2043	2043	2043	N/A
14:59.08	1	2073	2073	2073	2073	2073	2073	2073	2073	N/A
14:59.11	1	2103	2103	2103	2103	2103	2103	2103	2103	N/A
14:59.13	1	2133	2133	2133	2133	2133	2133	2133	2133	N/A
14:59.19	1	2163	2163	2163	2163	2163	2163	2163	2163	N/A
14:59.21	1	2193	2193	2193	2193	2193	2193	2193	2193	N/A
14:59.24	1	2223	2223	2223	2223	2223	2223	2223	2223	N/A
15:09.35	1	2224	2224	2224	2224	2224	2224	2224	2224	N/A
15:09.37	1	2254	2254	2254	2254	2254	2254	2254	2254	N/A
15:09.38	1	2284	2284	2284	2284	2284	2284	2284	2284	N/A
15:09.39	1	2314	2314	2314	2314	2314	2314	2314	2314	N/A
15:09.40	1	2344	2344	2344	2344	2344	2344	2344	2344	N/A
15:09.42	1	2374	2374	2374	2374	2374	2374	2374	2374	N/A
15:09.44	1	2404	2404	2404	2404	2404	2404	2404	2404	N/A
15:09.45	1	2434	2434	2434	2434	2434	2434	2434	2434	N/A
15:09.47	1	2464	2464	2464	2464	2464	2464	2464	2464	N/A
15:09.52	1	2494	2494	2494	2494	2494	2494	2494	2494	N/A
15:09.54	1	2524	2524	2524	2524	2524	2524	2524	2524	N/A
15:09.55	1	2554	2554	2554	2554	2554	2554	2554	2554	N/A
15:09.57	1	2584	2584	2584	2584	2584	2584	2584	2584	N/A
15:09.59	1	2614	2614	2614	2614	2614	2614	2614	2614	N/A
15:10.01	1	2644	2644	2644	2644	2644	2644	2644	2644	N/A
15:10.02	1	2674	2674	2674	2674	2674	2674	2674	2674	N/A
15:10.07	1	2704	2704	2704	2704	2704	2704	2704	2704	N/A
15:10.09	1	2734	2734	2734	2734	2734	2734	2734	2734	N/A
15:10.11	1	2764	2764	2764	2764	2764	2764	2764	2764	N/A
15:10.13	1	2794	2794	2794	2794	2794	2794	2794	2794	N/A
15:10.15	1	2824	2824	2824	2824	2824	2824	2824	2824	N/A
15:12.06	1	2825	2825	2825	2825	2825	2825	2825	2825	N/A
15:12.08	1	2855	2855	2855	2855	2855	2855	2855	2855	N/A
15:12.12	1	2885	2885	2885	2885	2885	2885	2885	2885	N/A
15:12.14	1	2915	2915	2915	2915	2915	2915	2915	2915	N/A
15:12.16	1	2945	2945	2945	2945	2945	2945	2945	2945	N/A
15:12.18	1	2975	2975	2975	2975	2975	2975	2975	2975	N/A
15:12.21	1	3005	3005	3005	3005	3005	3005	3005	3005	N/A
15:12.24	1	3035	3035	3035	3035	3035	3035	3035	3035	N/A
15:12.29	1	3065	3065	3065	3065	3065	3065	3065	3065	N/A
15:12.32	1	3095	3095	3095	3095	3095	3095	3095	3095	N/A
15:12.35	1	3125	3125	3125	3125	3125	3125	3125	3125	N/A
15:12.38	1	3155	3155	3155	3155	3155	3155	3155	3155	N/A
15:12.40	1	3185	3185	3185	3185	3185	3185	3185	3185	N/A
15:12.41	1	3215	3215	3215	3215	3215	3215	3215	3215	N/A
15:12.44	1	3245	3245	3245	3245	3245	3245	3245	3245	N/A
15:12.50	1	3275	3275	3275	3275	3275	3275	3275	3275	N/A
15:24.47	1	3276	3276	3276	3276	3276	3276	3276	3276	N/A
15:24.47	1	3306	3306	3306	3306	3306	3306	3306	3306	N/A
15:24.48	1	3336	3336	3336	3336	3336	3336	3336	3336	N/A
15:24.48	1	3366	3366	3366	3366	3366	3366	3366	3366	N/A
15:24.49	1	3396	3396	3396	3396	3396	3396	3396	3396	N/A
15:24.49	1	3426	3426	3426	3426	3426	3426	3426	3426	N/A
15:24.50	1	3456	3456	3456	3456	3456	3456	3456	3456	N/A
15:24.51	1	3486	3486	3486	3486	3486	3486	3486	3486	N/A
15:24.51	1	3516	3516	3516	3516	3516	3516	3516	3516	N/A
15:24.52	1	3546	3546	3546	3546	3546	3546	3546	3546	N/A
15:24.52	1	3576	3576	3576	3576	3576	3576	3576	3576	N/A
15:24.53	1	3606	3606	3606	3606	3606	3606	3606	3606	N/A
15:24.54	1	3636	3636	3636	3636	3636	3636	3636	3636	N/A
15:24.55	1	3666	3666	3666	3666	3666	3666	3666	3666	N/A
15:24.56	1	3696	3696	3696	3696	3696	3696	3696	3696	N/A
15:25.00	1	3726	3726	3726	3726	3726	3726	3726	3726	N/A
15:25.01	1	3756	3756	3756	3756	3756	3756	3756	3756	N/A
15:25.02	1	3786	3786	3786	3786	3786	3786	3786	3786	N/A
15:25.03	1	3816	3816	3816	3816	3816	3816	3816	3816	N/A
15:25.04	1	3846	3846	3846	3846	3846	3846	3846	3846	N/A
15:25.05	1	3876	3876	3876	3876	3876	3876	3876	3876	N/A
15:25.12	1	4146	4146	4146	4146	4146	4146	4146	4146	N/A
15:25.13	1	4176	4176	4176	4176	4176	4176	4176	4176	N/A
15:25.14	1	4206	4206	4206	4206	4206	4206	4206	4206	N/A
15:25.25	1	4236	4236	4236	4236	4236	4236	4236	4236	N/A
15:25.26	1	4266	4266	4266	4266	4266	4266	4266	4266	N/A
15:25.27	1	4296	4296	4296	4296	4296	4296	4296	4296	N/A
15:25.28	1	4326	4326	4326	4326	4326	4326	4326	4326	N/A
15:25.29	1	4356	4356	4356	4356	4356	4356	4356	4356	N/A
15:25.34	1	4386	4386	4386	4386	4386	4386	4386	4386	N/A
15:25.35	1	4416	4416	4416	4416	4416	4416	4416	4416	N/A
15:25.37	1	4446	4446	4446	4446	4446	4446	4446	4446	N/A
15:25.38	1	4476	4476	4476	4476	4476	4476	4476	4476	N/A
15:25.39	1	4506	4506	4506	4506	4506	4506	4506	4506	N/A
15:25.40	1	4536	4536	4536	4536	4536	4536	4536	4536	N/A
15:25.41	1	4566	4566	4566	4566	4566	4566	4566	4566	N/A
15:25.43	1	4596	4596	4596	4596	4596	4596	4596	4596	N/A
15:25.44	1	4626	4626	4626	4626	4626	4626	4626	4626	N/A
15:25.44	1	4656	4656	4656	4656	4656	4656	4656	4656	N/A
15:25.46	1	4686	4686	4686	4686	4686	4686	4686	4686	N/A
15:25.48	1	4716	4716	4716	4716	4716	4716	4716	4716	N/A
15:25.53	1	4746	4746	4746	4746	4746	4746	4746	4746	N/A
15:25.55	1	4776	4776	4776	4776	4776	4776	4776	4776	N/A
15:25.56	1	4806	4806	4806	4806	4806	4806	4806	4806	N/A
15:25.58	1	4836	4836	4836	4836	4836	4836	4836	4836	N/A
15:25.59	1	4866	4866	4866	4866	4866	4866	4866	4866	N/A
15:26.01	1	4896	4896	4896	4896	4896	4896	4896	4896	N/A
15:26.03	1	4926	4926	4926	4926	4926	4926	4926	4926	N/A
15:26.04	1	4956	4956	4956	4956	4956	4956	4956	4956	N/A
15:26.06	1	4986	4986	4986	4986	4986	4986	4986	4986	N/A
15:26.11	1	5016	5016	5016	5016	5016	5016	5016	5016	N/A
